Unnamed: 0;row_key;periode;as_of_date;flag_trx;variable;divisi_kelolaan;group_corporate;bulan1;namabulan1;bulan2;namabulan2;bulan3;namabulan3;bulan4;namabulan4;bulan5;namabulan5;bulan6;namabulan6;bulan7;namabulan7;bulan8;namabulan8;bulan9;namabulan9;bulan10;namabulan10;bulan11;namabulan11;bulan12;namabulan12;mean_value;min_value;max_value;max_bulan;min_bulan
27728;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~CASA~~eom~;YEAR ON YEAR;20230930;CASA;eom;bumn & institusi pemerintah; Bali Bintang Sejahtera;1966705369.74;2022-10;5837381860.36;2022-11;10577156094.04;2022-12;4924056928.26;2023-01;2356805060.0;2023-02;10585822821.44;2023-03;10149199953.7;2023-04;5878633243.86;2023-05;3546109088.46;2023-06;10258651081.28;2023-07;14492312649.82;2023-08;2467461155.08;2023-09;6920024608.836666;1966705369.74;14492312649.82;202308;202210
27729;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~CASA~~mtd~;YEAR ON YEAR;20230930;CASA;mtd;bumn & institusi pemerintah; Bali Bintang Sejahtera;2359042361.06906;2022-10;2278376897.83514;2022-11;3289090896.14154;2022-12;3137779050.5653;2023-01;2200067840.86202;2023-02;2565555652.50256;2023-03;4026699613.752;2023-04;2580322479.44342;2023-05;2981835147.748;2023-06;2515846753.1653;2023-07;2453848855.80752;2023-08;2117687869.93038;2023-09;2708846118.235186;2117687869.93038;4026699613.752;202304;202309
27732;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~cash in~~interbank~;YEAR ON YEAR;20230930;cash in;interbank;bumn & institusi pemerintah; Bali Bintang Sejahtera;7972200000.0;2022-10;13833100000.0;2022-11;23697606860.04;2022-12;19003064174.14;2023-01;10821485793.76;2023-02;20566759776.14;2023-03;10553375653.54;2023-04;3321384960.96;2023-05;3844510102.24;2023-06;11589972433.52;2023-07;16206854619.4;2023-08;8331425256.82;2023-09;12478478302.546667;3321384960.96;23697606860.04;2022-12;2023-05
27733;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~cash in~~intrabank~;YEAR ON YEAR;20230930;cash in;intrabank;bumn & institusi pemerintah; Bali Bintang Sejahtera;0.0;2022-10;7103807923.92;2022-11;7526175795.44;2022-12;1952295031.72;2023-01;1750408722.8;2023-02;2376470074.56;2023-03;4496459487.04;2023-04;5024247101.12;2023-05;3738227704.0;2023-06;1838042801.92;2023-07;5635157389.12;2023-08;5103860809.92;2023-09;4231377531.0509086;1750408722.8;7526175795.44;2022-11;2023-01
27736;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~cash out~~interbank~;YEAR ON YEAR;20230930;cash out;interbank;bumn & institusi pemerintah; Bali Bintang Sejahtera;18862736067.52;2022-10;14241964846.4;2022-11;48383600440.32;2022-12;31201561395.84;2023-01;31931134387.52;2023-02;23093237885.12;2023-03;20499859339.84;2023-04;22020443172.8;2023-05;3464047691.52;2023-06;13808473053.76;2023-07;19995833374.4;2023-08;6073423021.12;2023-09;21131359556.34666;3464047691.52;48383600440.32;2022-12;2023-06
27737;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~cash out~~intrabank~;YEAR ON YEAR;20230930;cash out;intrabank;bumn & institusi pemerintah; Bali Bintang Sejahtera;8195998057.14;2022-10;6582936927.78;2022-11;3682354318.42;2022-12;5237543220.96;2023-01;2872342840.96;2023-02;4284066584.78;2023-03;4486570686.74;2023-04;2753457365.46;2023-05;2781029333.54;2023-06;5079511103.6;2023-07;1102303251.62;2023-08;11749940520.96;2023-09;4900671184.33;1102303251.62;11749940520.96;2023-09;2023-08
27738;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Bali Bintang Sejahtera~~20230930~~closedloop~~mtd~;YEAR ON YEAR;20230930;closedloop;mtd;bumn & institusi pemerintah; Bali Bintang Sejahtera;46.784;2022-10;26.488;2022-11;12.384;2022-12;21.672;2023-01;18.748;2023-02;14.706;2023-03;24.768;2023-04;33.54;2023-05;42.054;2023-06;25.37;2023-07;5.848;2023-08;75.25;2023-09;28.96766638;5.848;75.25;2023-09;2023-08
32576;~YEAR ON YEAR~~retail b~~ Bhakti Agung Propertindo~~20230930~~CASA~~eom~;YEAR ON YEAR;20230930;CASA;eom;retail b; Bhakti Agung Propertindo;0.0;2022-10;0.0;2022-11;0.0;2022-12;0.0;2023-01;0.0;2023-02;0.0;2023-03;0.0;2023-04;0.0;2023-05;0.0;2023-06;85264976.06;2023-07;11580247076.22;2023-08;10577912326.44;2023-09;7414474792.906666;85264976.06;11580247076.22;202308;202307
32577;~YEAR ON YEAR~~retail b~~ Bhakti Agung Propertindo~~20230930~~CASA~~mtd~;YEAR ON YEAR;20230930;CASA;mtd;retail b; Bhakti Agung Propertindo;0.0;2022-10;0.0;2022-11;0.0;2022-12;0.0;2023-01;0.0;2023-02;0.0;2023-03;0.0;2023-04;0.0;2023-05;0.0;2023-06;10688748.005;2023-07;12322326274.23282;2023-08;11377375201.33762;2023-09;7903463407.85848;10688748.005;12322326274.23282;202308;202307
32579;~YEAR ON YEAR~~retail b~~ Bhakti Agung Propertindo~~20230930~~cash in~~interbank~;YEAR ON YEAR;20230930;cash in;interbank;retail b; Bhakti Agung Propertindo;0.0;2022-10;0.0;2022-11;0.0;2022-12;0.0;2023-01;0.0;2023-02;0.0;2023-03;0.0;2023-04;0.0;2023-05;0.0;2023-06;0.0;2023-07;85285126.72;2023-08;29385124188.16;2023-09;14735204657.44;85285126.72;29385124188.16;2023-08;2023-07
32581;~YEAR ON YEAR~~retail b~~ Bhakti Agung Propertindo~~20230930~~cash out~~interbank~;YEAR ON YEAR;20230930;cash out;interbank;retail b; Bhakti Agung Propertindo;0.0;2022-10;0.0;2022-11;0.0;2022-12;0.0;2023-01;0.0;2023-02;0.0;2023-03;0.0;2023-04;0.0;2023-05;0.0;2023-06;0.0;2023-07;33783548625.36;2023-08;1016764267.52;2023-09;17400156446.44;1016764267.52;33783548625.36;2023-08;2023-09
32582;~YEAR ON YEAR~~retail b~~ Bhakti Agung Propertindo~~20230930~~closedloop~~mtd~;YEAR ON YEAR;20230930;closedloop;mtd;retail b; Bhakti Agung Propertindo;0.0;2022-10;0.0;2022-11;0.0;2022-12;0.0;2023-01;0.0;2023-02;0.0;2023-03;0.0;2023-04;0.0;2023-05;0.0;2023-06;0.0;2023-07;0.0;2023-08;0.0;2023-09;0.0;0.0;0.0;2023-08;2023-08
32540;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~CASA~~eom~;YEAR ON YEAR;20230930;CASA;eom;retail b; Digital Mediatama Maxima;866131131.78;2022-10;891150272.42;2022-11;652246932.76;2022-12;677000053.9;2023-01;508511779.62;2023-02;153293809.76;2023-03;179418009.98;2023-04;113243536.66;2023-05;122391931.14;2023-06;357486175.14;2023-07;137979074.24;2023-08;110363926.42;2023-09;397434719.485;110363926.42;891150272.42;202211;202309
32541;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~CASA~~mtd~;YEAR ON YEAR;20230930;CASA;mtd;retail b; Digital Mediatama Maxima;910923036.15898;2022-10;860089725.49162;2022-11;809804567.9796599;2022-12;590244800.6512799;2023-01;648760706.8380799;2023-02;433679250.83384;2023-03;140282953.89723998;2023-04;126144561.30872;2023-05;144646097.734;2023-06;143533944.21094;2023-07;143996088.01556;2023-08;110627559.90762;2023-09;421894441.08562857;110627559.90762;910923036.15898;202210;202309
32544;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~cash in~~interbank~;YEAR ON YEAR;20230930;cash in;interbank;retail b; Digital Mediatama Maxima;2396495233.04;2022-10;1567416650.0;2022-11;2736493937.7;2022-12;1416616909.04;2023-01;159856199.72;2023-02;168496188.0;2023-03;394871678.04;2023-04;411442447.86;2023-05;5306401.24;2023-06;896393280.48;2023-07;1262462411.28;2023-08;709508880.36;2023-09;1010446684.73;5306401.24;2736493937.7;2022-12;2023-06
32545;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~cash in~~intrabank~;YEAR ON YEAR;20230930;cash in;intrabank;retail b; Digital Mediatama Maxima;0.0;2022-10;0.0;2022-11;2.58;2022-12;260564368.64;2023-01;38700000.0;2023-02;394224000.0;2023-03;212162000.0;2023-04;6.02;2023-05;228404479.44;2023-06;234452048.46;2023-07;756742666.38;2023-08;266080001.86;2023-09;239132957.338;2.58;756742666.38;2023-07;2022-10
32548;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~cash out~~interbank~;YEAR ON YEAR;20230930;cash out;interbank;retail b; Digital Mediatama Maxima;0.0;2022-10;0.0;2022-11;372300040.64;2022-12;379059503.04;2023-01;376381070.88;2023-02;355365567.36;2023-03;372866522.64;2023-04;364993693.92;2023-05;448460150.26;2023-06;604299024.24;2023-07;662156235.46;2023-08;622754997.48;2023-09;455863680.592;355365567.36;662156235.46;2023-08;2023-03
32549;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~cash out~~intrabank~;YEAR ON YEAR;20230930;cash out;intrabank;retail b; Digital Mediatama Maxima;0.0;2022-10;979540055.04;2022-11;7097260.94;2022-12;400627130.86;2023-01;378138360.48;2023-02;346503390.34;2023-03;212162000.0;2023-04;248164269.44;2023-05;293860093.38;2023-06;768675166.38;2023-07;823975723.16;2023-08;626860746.7;2023-09;462327654.24727273;7097260.94;979540055.04;2022-10;2022-11
32550;~YEAR ON YEAR~~retail b~~ Digital Mediatama Maxima~~20230930~~closedloop~~mtd~;YEAR ON YEAR;20230930;closedloop;mtd;retail b; Digital Mediatama Maxima;35.174;2022-10;0.344;2022-11;12.384;2022-12;22.962;2023-01;53.75;2023-02;47.902;2023-03;0.0;2023-04;33.367999999999995;2023-05;105.436;2023-06;39.99;2023-07;56.158;2023-08;55.298;2023-09;38.56383362;0.0;105.436;2023-06;2023-04
27680;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Intermedia Capital~~20230930~~CASA~~eom~;YEAR ON YEAR;20230930;CASA;eom;bumn & institusi pemerintah; Intermedia Capital;18535680908.143;2022-10;17989283330.6721;2022-11;27771632990.731;2022-12;14333202610.008;2023-01;17922725118.27;2023-02;18503451953.8652;2023-03;18691890040.03;2023-04;20860458951.05;2023-05;35489618497.365;2023-06;41336705790.244;2023-07;43279281015.19;2023-08;47082995143.275;2023-09;26816410529.070274;14333202610.008;47082995143.275;202309;202301
27681;~YEAR ON YEAR~~bumn & institusi pemerintah~~ Intermedia Capital~~20230930~~CASA~~mtd~;YEAR ON YEAR;20230930;CASA;mtd;bumn & institusi pemerintah; Intermedia Capital;18247081537.59406;2022-10;18263695559.082737;2022-11;19668578551.935337;2022-12;19615679691.81716;2023-01;15542449084.9129;2023-02;19245928533.18742;2023-03;17587331418.5526;2023-04;19592642430.569218;2023-05;25234276746.49648;2023-06;36549090864.16058;2023-07;41718799426.77514;2023-08;48259794424.39046;2023-09;24960445689.12284;15542449084.9129;48259794424.39046;202309;202302
